/	products.views.IndexTemplateView	main
/admins/orders/	admins.views.OrdertListView	admins:admin_orders
/admins/products-create/	admins.views.ProductCreateView	admins:admin_products_create
/admins/products-delete/<int:pk>	admins.views.ProductDeleteView	admins:admin_products_delete
/admins/products-update/<int:pk>	admins.views.ProductUpdateView	admins:admin_products_update
/admins/products/	admins.views.ProductListView	admins:admin_products
/admins/users-create/	admins.views.UserCreateView	admins:admin_users_create
/admins/users-delete/<int:pk>	admins.views.UserDeleteView	admins:admin_users_delete
/admins/users-update/<int:pk>	admins.views.UserUpdateView	admins:admin_users_update
/admins/users/	admins.views.UserListView	admins:admin_users
/auth/login/	authapp.views.UserLoginView	auth:login
/auth/logout/	authapp.views.UserLogoutView	auth:logout
/auth/profile/	authapp.views.UserDetailView	auth:profile
/auth/register/	authapp.views.UserRegisterView	auth:register
/auth/verify/<str:email>/<str:activate_key>/	authapp.views.verify	auth:verify
/baskets/add/<int:id>/	baskets.views.basket_add	baskets:basket_add
/baskets/edit/<int:id_basket>/<int:quantity>/	baskets.views.basket_edit	baskets:basket_edit
/baskets/remove/<int:pk>/	baskets.views.basket_remove	baskets:basket_remove
/complete/<str:backend>/	social_django.views.complete	social:complete
/debug/render_panel/	debug_toolbar.views.render_panel	djdt:render_panel
/debug/sql_explain/	debug_toolbar.panels.sql.views.sql_explain	djdt:sql_explain
/debug/sql_profile/	debug_toolbar.panels.sql.views.sql_profile	djdt:sql_profile
/debug/sql_select/	debug_toolbar.panels.sql.views.sql_select	djdt:sql_select
/debug/template_source/	debug_toolbar.panels.templates.views.template_source	djdt:template_source
/disconnect/<str:backend>/	social_django.views.disconnect	social:disconnect
/disconnect/<str:backend>/<int:association_id>/	social_django.views.disconnect	social:disconnect_individual
/login/<str:backend>/	social_django.views.auth	social:begin
/media/<path>	django.views.static.serve
/ordersapp/	ordersapp.views.OrderList	orders:list
/ordersapp/create/	ordersapp.views.OrderCreate	orders:create
/ordersapp/delete/<int:pk>/	ordersapp.views.OrderDelete	orders:delete
/ordersapp/forming_complete/<int:pk>/	ordersapp.views.order_forming_complete	orders:forming_complete
/ordersapp/product/<int:pk>/price/	ordersapp.views.get_product_price	orders:product_price
/ordersapp/read/<int:pk>/	ordersapp.views.OrderRead	orders:read
/ordersapp/update/<int:pk>/	ordersapp.views.OrderUpdate	orders:update
/products/	products.views.ProductListView	products:index
/products/category/<int:id_category>/	products.views.CategoryProductListView	products:category
/products/page/<int:page>	products.views.ProductListView	products:page
/products/product/<int:pk>/	products.views.ProductDetailView	products:product
